2025-02-09 17:42:58,820 - INFO - Извлечено 420 записей из OlapCube_VNV и 185 записей из Vygruzka.
2025-02-09 17:42:59,063 - WARNING - Пропускаем запись с serialno: S98, начинается на 'S'.
2025-02-09 17:42:59,065 - WARNING - Пропускаем запись с serialno: S23, начинается на 'S'.
2025-02-09 17:42:59,066 - WARNING - Пропускаем запись с serialno: S95, начинается на 'S'.
2025-02-09 17:42:59,066 - WARNING - Пропускаем запись с serialno: S182, начинается на 'S'.
2025-02-09 17:42:59,067 - WARNING - Пропускаем запись с serialno: S110, начинается на 'S'.
2025-02-09 17:42:59,068 - WARNING - Пропускаем запись с serialno: S44, начинается на 'S'.
2025-02-09 17:42:59,069 - WARNING - Пропускаем запись с serialno: S49, начинается на 'S'.
2025-02-09 17:42:59,070 - WARNING - Пропускаем запись с serialno: S63, начинается на 'S'.
2025-02-09 17:42:59,071 - WARNING - Пропускаем запись с serialno: S20, начинается на 'S'.
2025-02-09 17:42:59,074 - WARNING - Пропускаем запись с serialno: S96, начинается на 'S'.
2025-02-09 17:42:59,075 - WARNING - Пропускаем запись с serialno: S162, начинается на 'S'.
2025-02-09 17:42:59,077 - WARNING - Пропускаем запись с serialno: S213, начинается на 'S'.
2025-02-09 17:42:59,078 - WARNING - Пропускаем запись с serialno: S81, начинается на 'S'.
2025-02-09 17:42:59,082 - WARNING - Пропускаем запись с serialno: S113, начинается на 'S'.
2025-02-09 17:42:59,087 - WARNING - Пропускаем запись с serialno: S37, начинается на 'S'.
2025-02-09 17:42:59,090 - WARNING - Пропускаем запись с serialno: S10, начинается на 'S'.
2025-02-09 17:42:59,091 - WARNING - Пропускаем запись с serialno: S53, начинается на 'S'.
2025-02-09 17:42:59,092 - WARNING - Пропускаем запись с serialno: S79, начинается на 'S'.
2025-02-09 17:42:59,094 - WARNING - Пропускаем запись с serialno: S74, начинается на 'S'.
2025-02-09 17:42:59,095 - WARNING - Пропускаем запись с serialno: S161, начинается на 'S'.
2025-02-09 17:42:59,096 - WARNING - Пропускаем запись с serialno: S210, начинается на 'S'.
2025-02-09 17:42:59,097 - WARNING - Пропускаем запись с serialno: S118, начинается на 'S'.
2025-02-09 17:42:59,098 - WARNING - Пропускаем запись с serialno: S116, начинается на 'S'.
2025-02-09 17:42:59,099 - WARNING - Пропускаем запись с serialno: S215, начинается на 'S'.
2025-02-09 17:42:59,100 - WARNING - Пропускаем запись с serialno: S164, начинается на 'S'.
2025-02-09 17:42:59,101 - WARNING - Пропускаем запись с serialno: S115, начинается на 'S'.
2025-02-09 17:42:59,102 - WARNING - Пропускаем запись с serialno: S216, начинается на 'S'.
2025-02-09 17:42:59,103 - WARNING - Пропускаем запись с serialno: S167, начинается на 'S'.
2025-02-09 17:42:59,105 - WARNING - Пропускаем запись с serialno: S218, начинается на 'S'.
2025-02-09 17:42:59,107 - WARNING - Пропускаем запись с serialno: S169, начинается на 'S'.
2025-02-09 17:42:59,107 - WARNING - Пропускаем запись с serialno: S104, начинается на 'S'.
2025-02-09 17:42:59,108 - WARNING - Пропускаем запись с serialno: S5, начинается на 'S'.
2025-02-09 17:42:59,109 - WARNING - Пропускаем запись с serialno: S178, начинается на 'S'.
2025-02-09 17:42:59,110 - WARNING - Пропускаем запись с serialno: S209, начинается на 'S'.
2025-02-09 17:42:59,112 - WARNING - Пропускаем запись с serialno: S176, начинается на 'S'.
2025-02-09 17:42:59,112 - WARNING - Пропускаем запись с serialno: S207, начинается на 'S'.
2025-02-09 17:42:59,113 - WARNING - Пропускаем запись с serialno: S107, начинается на 'S'.
2025-02-09 17:42:59,114 - WARNING - Пропускаем запись с serialno: S109, начинается на 'S'.
2025-02-09 17:42:59,117 - WARNING - Пропускаем запись с serialno: S6, начинается на 'S'.
2025-02-09 17:42:59,118 - WARNING - Пропускаем запись с serialno: S204, начинается на 'S'.
2025-02-09 17:42:59,118 - WARNING - Пропускаем запись с serialno: S175, начинается на 'S'.
2025-02-09 17:42:59,119 - WARNING - Пропускаем запись с serialno: S90, начинается на 'S'.
2025-02-09 17:42:59,120 - WARNING - Пропускаем запись с serialno: S26, начинается на 'S'.
2025-02-09 17:42:59,121 - WARNING - Пропускаем запись с serialno: S102, начинается на 'S'.
2025-02-09 17:42:59,122 - WARNING - Пропускаем запись с serialno: S42, начинается на 'S'.
2025-02-09 17:42:59,123 - WARNING - Пропускаем запись с serialno: S201, начинается на 'S'.
2025-02-09 17:42:59,123 - WARNING - Пропускаем запись с serialno: S170, начинается на 'S'.
2025-02-09 17:42:59,124 - WARNING - Пропускаем запись с serialno: S68, начинается на 'S'.
2025-02-09 17:42:59,125 - WARNING - Пропускаем запись с serialno: S65, начинается на 'S'.
2025-02-09 17:42:59,126 - WARNING - Пропускаем запись с serialno: S55, начинается на 'S'.
2025-02-09 17:42:59,127 - WARNING - Пропускаем запись с serialno: S58, начинается на 'S'.
2025-02-09 17:42:59,129 - WARNING - Пропускаем запись с serialno: S101, начинается на 'S'.
2025-02-09 17:42:59,130 - WARNING - Пропускаем запись с serialno: S72, начинается на 'S'.
2025-02-09 17:42:59,131 - WARNING - Пропускаем запись с serialno: S202, начинается на 'S'.
2025-02-09 17:42:59,131 - WARNING - Пропускаем запись с serialno: S31, начинается на 'S'.
2025-02-09 17:42:59,133 - WARNING - Пропускаем запись с serialno: S173, начинается на 'S'.
2025-02-09 17:42:59,134 - WARNING - Пропускаем запись с serialno: S87, начинается на 'S'.
2025-02-09 17:42:59,135 - WARNING - Пропускаем запись с serialno: S16, начинается на 'S'.
2025-02-09 17:42:59,137 - WARNING - Пропускаем запись с serialno: S131, начинается на 'S'.
2025-02-09 17:42:59,138 - WARNING - Пропускаем запись с serialno: S71, начинается на 'S'.
2025-02-09 17:42:59,139 - WARNING - Пропускаем запись с serialno: S56, начинается на 'S'.
2025-02-09 17:42:59,140 - WARNING - Пропускаем запись с serialno: S89, начинается на 'S'.
2025-02-09 17:42:59,141 - WARNING - Пропускаем запись с serialno: S15, начинается на 'S'.
2025-02-09 17:42:59,143 - WARNING - Пропускаем запись с serialno: S193, начинается на 'S'.
2025-02-09 17:42:59,144 - WARNING - Пропускаем запись с serialno: S32, начинается на 'S'.
2025-02-09 17:42:59,145 - WARNING - Пропускаем запись с serialno: S143, начинается на 'S'.
2025-02-09 17:42:59,146 - WARNING - Пропускаем запись с serialno: S232, начинается на 'S'.
2025-02-09 17:42:59,147 - WARNING - Пропускаем запись с serialno: S84, начинается на 'S'.
2025-02-09 17:42:59,148 - WARNING - Пропускаем запись с serialno: S18, начинается на 'S'.
2025-02-09 17:42:59,148 - WARNING - Пропускаем запись с serialno: S28, начинается на 'S'.
2025-02-09 17:42:59,149 - WARNING - Пропускаем запись с serialno: S132, начинается на 'S'.
2025-02-09 17:42:59,151 - WARNING - Пропускаем запись с serialno: S93, начинается на 'S'.
2025-02-09 17:42:59,153 - WARNING - Пропускаем запись с serialno: S25, начинается на 'S'.
2025-02-09 17:42:59,153 - WARNING - Пропускаем запись с serialno: S190, начинается на 'S'.
2025-02-09 17:42:59,154 - WARNING - Пропускаем запись с serialno: S66, начинается на 'S'.
2025-02-09 17:42:59,156 - WARNING - Пропускаем запись с serialno: S41, начинается на 'S'.
2025-02-09 17:42:59,157 - WARNING - Пропускаем запись с serialno: S140, начинается на 'S'.
2025-02-09 17:42:59,158 - WARNING - Пропускаем запись с serialno: S231, начинается на 'S'.
2025-02-09 17:42:59,160 - WARNING - Пропускаем запись с serialno: S2, начинается на 'S'.
2025-02-09 17:42:59,161 - WARNING - Пропускаем запись с serialno: S139, начинается на 'S'.
2025-02-09 17:42:59,162 - WARNING - Пропускаем запись с serialno: S137, начинается на 'S'.
2025-02-09 17:42:59,163 - WARNING - Пропускаем запись с serialno: S145, начинается на 'S'.
2025-02-09 17:42:59,164 - WARNING - Пропускаем запись с serialno: S234, начинается на 'S'.
2025-02-09 17:42:59,165 - WARNING - Пропускаем запись с serialno: S195, начинается на 'S'.
2025-02-09 17:42:59,166 - WARNING - Пропускаем запись с serialno: S134, начинается на 'S'.
2025-02-09 17:42:59,167 - WARNING - Пропускаем запись с serialno: S146, начинается на 'S'.
2025-02-09 17:42:59,168 - WARNING - Пропускаем запись с serialno: S198, начинается на 'S'.
2025-02-09 17:42:59,169 - WARNING - Пропускаем запись с serialno: S148, начинается на 'S'.
2025-02-09 17:42:59,170 - WARNING - Пропускаем запись с serialno: S1, начинается на 'S'.
2025-02-09 17:42:59,172 - WARNING - Пропускаем запись с serialno: S196, начинается на 'S'.
2025-02-09 17:43:16,949 - INFO - Обновлено 185 записей в OlapCube_VNV.
2025-02-09 18:23:36,962 - INFO - Извлечено 420 записей из OlapCube_VNV и 185 записей из Vygruzka.
2025-02-09 18:23:36,965 - WARNING - Пропускаем запись с serialno: S122, начинается на 'S'.
2025-02-09 18:23:36,966 - WARNING - Пропускаем запись с serialno: S29, начинается на 'S'.
2025-02-09 18:23:36,968 - WARNING - Пропускаем запись с serialno: S24, начинается на 'S'.
2025-02-09 18:23:36,970 - WARNING - Пропускаем запись с serialno: S92, начинается на 'S'.
2025-02-09 18:23:36,973 - WARNING - Пропускаем запись с serialno: S67, начинается на 'S'.
2025-02-09 18:23:36,974 - WARNING - Пропускаем запись с serialno: S180, начинается на 'S'.
2025-02-09 18:23:36,976 - WARNING - Пропускаем запись с serialno: S221, начинается на 'S'.
2025-02-09 18:23:36,978 - WARNING - Пропускаем запись с serialno: S150, начинается на 'S'.
2025-02-09 18:23:36,980 - WARNING - Пропускаем запись с serialno: S40, начинается на 'S'.
2025-02-09 18:23:36,981 - WARNING - Пропускаем запись с serialno: S70, начинается на 'S'.
2025-02-09 18:23:36,983 - WARNING - Пропускаем запись с serialno: S121, начинается на 'S'.
2025-02-09 18:23:36,985 - WARNING - Пропускаем запись с serialno: S57, начинается на 'S'.
2025-02-09 18:23:36,988 - WARNING - Пропускаем запись с serialno: S183, начинается на 'S'.
2025-02-09 18:23:36,990 - WARNING - Пропускаем запись с serialno: S88, начинается на 'S'.
2025-02-09 18:23:36,992 - WARNING - Пропускаем запись с serialno: S14, начинается на 'S'.
2025-02-09 18:23:36,993 - WARNING - Пропускаем запись с serialno: S85, начинается на 'S'.
2025-02-09 18:23:36,995 - WARNING - Пропускаем запись с serialno: S19, начинается на 'S'.
2025-02-09 18:23:36,997 - WARNING - Пропускаем запись с serialno: S222, начинается на 'S'.
2025-02-09 18:23:36,999 - WARNING - Пропускаем запись с serialno: S33, начинается на 'S'.
2025-02-09 18:23:37,001 - WARNING - Пропускаем запись с serialno: S153, начинается на 'S'.
2025-02-09 18:23:37,002 - WARNING - Пропускаем запись с serialno: S124, начинается на 'S'.
2025-02-09 18:23:37,004 - WARNING - Пропускаем запись с serialno: S188, начинается на 'S'.
2025-02-09 18:23:37,006 - WARNING - Пропускаем запись с serialno: S8, начинается на 'S'.
2025-02-09 18:23:37,008 - WARNING - Пропускаем запись с serialno: S227, начинается на 'S'.
2025-02-09 18:23:37,010 - WARNING - Пропускаем запись с serialno: S156, начинается на 'S'.
2025-02-09 18:23:37,012 - WARNING - Пропускаем запись с serialno: S186, начинается на 'S'.
2025-02-09 18:23:37,015 - WARNING - Пропускаем запись с serialno: S229, начинается на 'S'.
2025-02-09 18:23:37,016 - WARNING - Пропускаем запись с serialno: S129, начинается на 'S'.
2025-02-09 18:23:37,018 - WARNING - Пропускаем запись с serialno: S158, начинается на 'S'.
2025-02-09 18:23:37,019 - WARNING - Пропускаем запись с serialno: S127, начинается на 'S'.
2025-02-09 18:23:37,022 - WARNING - Пропускаем запись с serialno: S224, начинается на 'S'.
2025-02-09 18:23:37,024 - WARNING - Пропускаем запись с serialno: S155, начинается на 'S'.
2025-02-09 18:23:37,026 - WARNING - Пропускаем запись с serialno: S185, начинается на 'S'.
2025-02-09 18:23:37,027 - WARNING - Пропускаем запись с serialno: S117, начинается на 'S'.
2025-02-09 18:23:37,028 - WARNING - Пропускаем запись с serialno: S119, начинается на 'S'.
2025-02-09 18:23:37,029 - WARNING - Пропускаем запись с serialno: S214, начинается на 'S'.
2025-02-09 18:23:37,031 - WARNING - Пропускаем запись с serialno: S165, начинается на 'S'.
2025-02-09 18:23:37,032 - WARNING - Пропускаем запись с serialno: S114, начинается на 'S'.
2025-02-09 18:23:37,034 - WARNING - Пропускаем запись с serialno: S219, начинается на 'S'.
2025-02-09 18:23:37,035 - WARNING - Пропускаем запись с serialno: S168, начинается на 'S'.
2025-02-09 18:23:37,036 - WARNING - Пропускаем запись с serialno: S217, начинается на 'S'.
2025-02-09 18:23:37,038 - WARNING - Пропускаем запись с serialno: S166, начинается на 'S'.
2025-02-09 18:23:37,040 - WARNING - Пропускаем запись с serialno: S54, начинается на 'S'.
2025-02-09 18:23:37,041 - WARNING - Пропускаем запись с serialno: S73, начинается на 'S'.
2025-02-09 18:23:37,043 - WARNING - Пропускаем запись с serialno: S111, начинается на 'S'.
2025-02-09 18:23:37,044 - WARNING - Пропускаем запись с serialno: S59, начинается на 'S'.
2025-02-09 18:23:37,046 - WARNING - Пропускаем запись с serialno: S86, начинается на 'S'.
2025-02-09 18:23:37,048 - WARNING - Пропускаем запись с serialno: S30, начинается на 'S'.
2025-02-09 18:23:37,049 - WARNING - Пропускаем запись с serialno: S212, начинается на 'S'.
2025-02-09 18:23:37,050 - WARNING - Пропускаем запись с serialno: S163, начинается на 'S'.
2025-02-09 18:23:37,051 - WARNING - Пропускаем запись с serialno: S17, начинается на 'S'.
2025-02-09 18:23:37,052 - WARNING - Пропускаем запись с serialno: S27, начинается на 'S'.
2025-02-09 18:23:37,054 - WARNING - Пропускаем запись с serialno: S91, начинается на 'S'.
2025-02-09 18:23:37,056 - WARNING - Пропускаем запись с serialno: S112, начинается на 'S'.
2025-02-09 18:23:37,057 - WARNING - Пропускаем запись с serialno: S69, начинается на 'S'.
2025-02-09 18:23:37,059 - WARNING - Пропускаем запись с serialno: S211, начинается на 'S'.
2025-02-09 18:23:37,060 - WARNING - Пропускаем запись с serialno: S160, начинается на 'S'.
2025-02-09 18:23:37,060 - WARNING - Пропускаем запись с serialno: S43, начинается на 'S'.
